timestamp,OPEN_PHOENIX_FEATHERS,HIGH_PHOENIX_FEATHERS,LOW_PHOENIX_FEATHERS,CLOSE_PHOENIX_FEATHERS,VOL_PHOENIX_FEATHERS,%change,,date
1,234.74,235.31,234.71,235,965,0.001097313,,1-1-00
2,235.21,236.08,234.77,234.86,549,-0.001472357,,1-2-00
3,234.56,235.14,234.48,234.95,796,0.001680036,,1-3-00
4,234.66,234.91,232.61,233.32,161,-0.005686586,,1-4-00
5,233.53,233.67,233.22,233.43,380,-0.000429103,,1-5-00
6,233.2,233.24,231.1,231.1,765,-0.00898859,,1-6-00
7,231.34,231.48,230.25,230.38,230,-0.004126803,,1-7-00
8,230.84,230.91,228.95,229.43,928,-0.006072828,,1-8-00
9,229.06,231.27,228.98,231.27,128,0.009655652,,1-9-00
10,231.57,232.81,231.04,232.46,905,0.003829745,,1-10-00
11,232.27,232.58,230.95,231.26,102,-0.00438898,,1-11-00
12,231.24,231.45,229.89,229.97,811,-0.005501422,,1-12-00
13,229.6,231.34,229.04,231.15,860,0.006763738,,1-13-00
14,230.63,232.15,230.52,231.53,295,0.003923727,,1-14-00
15,231.9,231.92,231.45,231.7,296,-0.00088755,,1-15-00
16,232.37,232.78,231.49,231.63,237,-0.003210129,,1-16-00
17,232.02,232.33,229.91,230.15,521,-0.008040472,,1-17-00
18,230.08,230.5,229.23,230.38,227,0.001295231,,1-18-00
19,230.39,230.81,229.34,229.47,643,-0.003996377,,1-19-00
20,229.04,230.58,228.98,230.48,781,0.006304711,,1-20-00
21,229.98,231.25,229.93,231.22,669,0.005387107,,1-21-00
22,231.01,231.74,230.84,231.56,581,0.002391544,,1-22-00
23,232.38,232.44,230.8,231.24,216,-0.004895746,,1-23-00
24,231.68,231.73,230.26,230.43,976,-0.005392808,,1-24-00
25,229.85,230.57,229.3,230.3,801,0.001956727,,1-25-00
26,229.45,231.29,229.22,231.27,489,0.007894756,,1-26-00
27,231.02,231.1,230.75,230.91,521,-0.000451032,,1-27-00
28,231.15,234.15,231.15,233.97,509,0.01216981,,1-28-00
29,234.37,234.57,232.75,232.92,975,-0.0061703,,1-29-00
30,232.86,232.88,232.53,232.71,312,-0.00065273,,1-30-00
31,232.96,234.76,232.84,234.39,195,,,1-31-00
32,233.86,234,232.58,232.65,337,,,2-1-00
33,232.66,232.7,230.34,230.77,196,,,2-2-00
34,230.72,231.6,230.55,231.6,169,,,2-3-00
