date,OPEN,HIGH,LOW,CLOSE,VOLUME
01-01-2000,234.74,235.31,234.71,235,965
01-02-2000,235.21,236.08,234.77,234.86,549
01-03-2000,234.56,235.14,234.48,234.95,796
01-04-2000,234.66,234.91,232.61,233.32,161
01-05-2000,233.53,233.67,233.22,233.43,380
01-06-2000,233.2,233.24,231.1,231.1,765
01-07-2000,231.34,231.48,230.25,230.38,230
01-08-2000,230.84,230.91,228.95,229.43,928
01-09-2000,229.06,231.27,228.98,231.27,128
01-10-2000,231.57,232.81,231.04,232.46,905
01-11-2000,232.27,232.58,230.95,231.26,102
01-12-2000,231.24,231.45,229.89,229.97,811
1-13-00,229.6,231.34,229.04,231.15,860
1-14-00,230.63,232.15,230.52,231.53,295
1-15-00,231.9,231.92,231.45,231.7,296
1-16-00,232.37,232.78,231.49,231.63,237
1-17-00,232.02,232.33,229.91,230.15,521
1-18-00,230.08,230.5,229.23,230.38,227
1-19-00,230.39,230.81,229.34,229.47,643
1-20-00,229.04,230.58,228.98,230.48,781
1-21-00,229.98,231.25,229.93,231.22,669
1-22-00,231.01,231.74,230.84,231.56,581
1-23-00,232.38,232.44,230.8,231.24,216
1-24-00,231.68,231.73,230.26,230.43,976
1-25-00,229.85,230.57,229.3,230.3,801
1-26-00,229.45,231.29,229.22,231.27,489
1-27-00,231.02,231.1,230.75,230.91,521
1-28-00,231.15,234.15,231.15,233.97,509
1-29-00,234.37,234.57,232.75,232.92,975
1-30-00,232.86,232.88,232.53,232.71,312
1-31-00,232.96,234.76,232.84,234.39,195
02-01-2000,233.86,234,232.58,232.65,337
02-02-2000,232.66,232.7,230.34,230.77,196
02-03-2000,230.72,231.6,230.55,231.6,169
02-04-2000,231.41,231.42,230.07,230.66,147
02-05-2000,230.78,230.8,229.95,230.15,611
02-06-2000,231.61,231.86,228.55,229.04,742
02-07-2000,229.43,230.4,228.96,230.36,705
02-08-2000,229.71,229.9,229.51,229.67,953
02-09-2000,228.92,229.37,228.49,229.04,333
02-10-2000,229.67,229.93,229.52,229.65,936
02-11-2000,229.66,230.83,229.63,230.73,358
02-12-2000,230.83,231.58,230.76,231.57,757
2-13-00,230.61,231.89,230.38,231.8,478
2-14-00,231.79,232.37,231.73,232.19,819
2-15-00,231.49,231.58,230.85,231.07,647
2-16-00,230.9,231,229.79,229.84,750
2-17-00,230.11,230.86,229.85,230.65,760
2-18-00,230.66,230.68,229.29,229.52,890
2-19-00,229.12,230.41,229.11,229.89,555
2-20-00,230.33,230.74,229.98,230.57,583
2-21-00,230.88,231.68,230.49,230.59,119
2-22-00,230.11,231.16,229.87,231.04,770
2-23-00,231.08,231.28,229.76,229.85,244
2-24-00,230.02,230.37,228.9,229.51,429
2-25-00,229.37,230.38,228.79,229.83,483
2-26-00,229.69,230.58,229.67,230.54,556
2-27-00,231.35,231.64,228.9,229.2,692
2-28-00,229.36,229.87,228.42,228.73,587
2-29-00,229.67,229.82,228.27,228.36,719
03-01-2000,228.51,228.74,227.72,228.32,379
03-02-2000,228.42,228.48,227.23,227.32,201
03-03-2000,228.13,228.21,226.42,226.89,126
03-04-2000,226.23,226.67,226.13,226.65,779
03-05-2000,226.55,226.56,225.82,226.31,913
03-06-2000,227,227.57,225.92,226.04,785
03-07-2000,226.44,226.88,225.07,225.27,992
03-08-2000,225,226.08,224.88,226.01,749
03-09-2000,227.33,227.36,224.42,224.51,235
03-10-2000,224.73,224.84,223.33,223.64,272
03-11-2000,224.5,224.8,222.19,222.44,811
03-12-2000,222.17,223.08,222.09,222.94,402
3-13-00,222.81,223.07,221.73,222.05,426
3-14-00,223.2,223.35,221.43,221.75,747
3-15-00,221.37,223.1,221.34,223.01,912
3-16-00,222.64,224.47,222.2,223.72,456
3-17-00,223.04,223.82,223.01,223.64,139
3-18-00,224.58,224.59,222.85,222.9,597
3-19-00,222.87,223.11,222.71,223.06,756
3-20-00,221.85,223.25,221.38,222.96,468
3-21-00,223.78,224.19,223.2,223.32,850
3-22-00,222.83,224.76,222.72,224.44,220
3-23-00,225.11,225.61,224.95,225.28,352
3-24-00,224.91,225.89,224.7,225.38,830
3-25-00,225.23,225.36,223.17,223.3,694
3-26-00,222.98,224.96,222.95,224.76,946
3-27-00,224.36,224.37,222.89,222.95,822
3-28-00,223.24,223.36,221.75,222.43,940
3-29-00,223.1,224.35,222.88,223.57,174
3-30-00,223.99,224.89,223.64,224.28,249
3-31-00,224.01,224.11,223.57,223.75,683
04-01-2000,224.37,224.88,224.23,224.67,756
04-02-2000,224.07,224.39,223.17,223.45,828
04-03-2000,222.91,223.34,221.88,222.2,775
04-04-2000,222.63,222.88,221.17,221.19,463
04-05-2000,220.69,222.35,220.58,222.27,859
04-06-2000,221.73,222.77,221.72,222.29,856
04-07-2000,222.91,223.16,222.36,222.81,321
04-08-2000,222.47,223.44,222.17,223.07,771
04-09-2000,223.71,224.03,221.6,221.89,508
04-10-2000,221.73,223.25,221.69,223.16,472
04-11-2000,223.3,223.48,222.1,222.32,617
04-12-2000,222.13,222.23,221.18,221.23,925
4-13-00,221.72,222.58,221.72,222.49,655
4-14-00,222.77,223.35,222.36,223.19,957
4-15-00,223.35,223.57,222.33,222.54,777
4-16-00,222.61,224.51,222.47,224.49,186
4-17-00,224.29,225.4,224.07,225.22,685
4-18-00,224.55,226.74,224.28,226.22,952
4-19-00,226.09,226.37,225.75,226.04,217
4-20-00,226.15,226.26,225.25,225.37,474
4-21-00,225.42,227.08,225.02,227.08,816
4-22-00,227.73,228.39,225.63,225.91,274
4-23-00,225.16,227.14,224.75,226.82,201
4-24-00,226.59,228.82,226.31,228.34,959
4-25-00,229.11,231.19,228.97,231.06,217
4-26-00,230.51,230.65,228.06,228.29,276
4-27-00,228.4,228.66,228.03,228.05,552
4-28-00,227.91,227.96,226.67,226.77,917
4-29-00,226.73,227.76,226.73,227.45,763
4-30-00,227.55,228.25,223.8,223.93,670
05-01-2000,224.02,224.83,223.78,224.36,909
05-02-2000,223.94,225.13,223.69,224.94,833
05-03-2000,224.77,225.2,222.42,222.73,322
05-04-2000,222.11,223.06,221.99,222.96,134
05-05-2000,222.73,222.81,221.96,222,386
05-06-2000,223.03,223.23,220.93,221.26,990
05-07-2000,221.94,223.59,221.66,223.08,728
05-08-2000,222.36,222.43,221.15,221.18,148
05-09-2000,220.89,221.29,220.28,220.44,345
05-10-2000,220.46,221.16,219.88,220.61,412
05-11-2000,221.15,221.5,220.6,220.88,888
05-12-2000,220.71,220.8,217.26,217.97,273
5-13-00,217.39,220.66,217.2,220.31,762
5-14-00,220.57,220.64,218.4,218.57,104
5-15-00,219.08,219.44,217.67,217.77,405
5-16-00,218.1,218.33,217.3,217.6,663
5-17-00,217.96,218.33,217.65,217.88,766
5-18-00,217.48,219.17,216.91,218.9,493
5-19-00,219.06,219.49,218.36,218.74,745
5-20-00,219.65,219.67,217.05,217.22,226
5-21-00,216.83,217.12,216.77,217.12,863
5-22-00,216.83,217.78,216.29,217.32,797
5-23-00,216.97,217.77,216.62,217.38,175
5-24-00,216.94,217.91,216.84,217.71,483
5-25-00,217.91,217.96,217.52,217.71,501
5-26-00,218.14,218.96,218.04,218.34,898
5-27-00,218,218.72,217.86,218.55,413
5-28-00,219.03,219.28,218.69,219.03,174
5-29-00,219.19,219.98,217.77,217.81,533
5-30-00,217.74,219.16,217.48,218.93,741
5-31-00,218.69,219.02,218.42,219.01,308
06-01-2000,219,219.12,218.65,218.94,179
06-02-2000,218.92,219.15,216.06,216.25,583
06-03-2000,216.08,216.73,216.03,216.65,958
06-04-2000,215.88,217.04,215.72,217,112
06-05-2000,216.8,216.92,215.87,216.14,133
06-06-2000,216.8,217.06,215.08,215.68,750
06-07-2000,216.03,216.09,215.98,216.04,164
06-08-2000,215.83,218.21,215.48,217.89,820
06-09-2000,217.96,218.42,217.29,217.31,396
06-10-2000,216.46,217.68,216.16,217.43,962
06-11-2000,217.4,219.63,217.37,219.21,464
06-12-2000,218.32,219.97,218.3,219.78,177
6-13-00,219.92,220.07,219.1,219.35,314
6-14-00,219.05,219.36,218.4,218.88,312
6-15-00,218.83,219.44,218.24,218.45,345
6-16-00,219.26,219.9,217.61,217.77,364
6-17-00,218.02,218.07,216.89,217.49,182
6-18-00,217.21,217.76,217.01,217.67,615
6-19-00,218.29,218.41,216.52,216.71,840
6-20-00,217.26,217.57,215.32,216.08,845
6-21-00,215.72,215.82,213.25,213.73,436
6-22-00,213.2,213.25,211.79,212.03,787
6-23-00,212.83,213.11,210,210.44,201
6-24-00,210.44,211.44,210.11,211.29,496
6-25-00,212.48,212.66,212.43,212.45,228
6-26-00,212.82,213.29,212.65,213.18,717
6-27-00,213.08,213.39,209.89,210.37,645
6-28-00,210.09,210.6,209.04,209.3,508
6-29-00,208.84,211.51,208.39,211.27,713
6-30-00,211.53,211.79,209.17,209.26,871
07-01-2000,209.27,210.26,209.22,210.23,602
07-02-2000,210.36,211.02,210.26,210.78,337
07-03-2000,211.27,212.33,211.19,211.63,391
07-04-2000,210.95,211.55,210.71,211.44,178
07-05-2000,212.36,212.75,211.19,211.44,363
07-06-2000,212.17,213.03,212.07,212.36,148
07-07-2000,212.44,212.67,211.91,211.96,945
07-08-2000,212.04,212.25,210.44,210.47,779
07-09-2000,210.31,212.38,210.11,212.22,678
07-10-2000,213.13,213.13,212.05,212.63,352
07-11-2000,212.61,212.88,210.38,210.75,320
07-12-2000,211.23,211.7,210.83,211.24,360
7-13-00,210.52,212.49,210.48,212.17,919
7-14-00,213.22,213.43,210.92,211.28,273
7-15-00,211.53,212.18,210.52,210.75,578
7-16-00,211.13,211.88,210.92,211.79,817
7-17-00,211.75,211.97,211.18,211.54,307
7-18-00,211.57,211.78,210.31,210.92,777
7-19-00,210.32,211.99,209.69,211.57,656
7-20-00,211.19,212.46,210.75,212.31,495
7-21-00,212.95,212.96,212.61,212.7,915
7-22-00,212.35,212.82,211.97,212.69,786
7-23-00,213.4,214.39,213.32,214.27,398
7-24-00,213.85,214.06,212.48,212.5,416
7-25-00,212.69,213.04,212.08,212.37,606
7-26-00,212.39,213.07,212.21,213.01,889
7-27-00,213.52,213.78,212.87,213.18,942
7-28-00,213.2,213.6,213.1,213.57,303
7-29-00,212.92,213.2,212.67,213.03,354
7-30-00,212.86,214.74,212.61,214.6,225
7-31-00,214.44,214.5,213.06,213.22,430
08-01-2000,213.44,213.68,211.06,211.49,388
08-02-2000,211.05,213.25,210.87,212.66,694
